Date,Open,High,Low,Close,Volume,Adj Close
21-Jan-2012,1,56678.52,53063.47,55733.18,1650.46,1733.5
22-Dec-2011,1,53675.68,48968.25,53596.3,1523.08,1667.03
22-Nov-2011,1,56599,50296.87,51854.39,1564.41,1612.85
23-Oct-2011,1,57963.13,52612.38,53971.33,1636.43,1678.7
23-Sep-2011,1,56432.86,49441,52788.37,1537.79,1641.9
24-Aug-2011,1,61757.25,54797.42,56012.51,1704.39,1742.18
25-Jul-2011,1,61473.48,51586.19,59082.89,1604.51,1837.68
25-Jun-2011,1,52201.91,47584.09,51971.26,1480.03,1616.49
26-May-2011,1,50098.2,48203.95,48289.3,1499.31,1501.97
26-Apr-2011,1,50684.46,47041.73,49077.12,1463.16,1526.47
27-Mar-2011,1,48824.35,45373.1,48443.89,1411.26,1506.77
25-Feb-2011,1,46538.95,44491.26,45975.46,1383.83,1430
26-Jan-2011,1,45604.16,42078.75,45130.71,1308.8,1403.72
27-Dec-2010,1,45766.01,42546.29,42836.6,1323.34,1332.37
27-Nov-2010,1,45987.32,43537.58,44187.81,1354.17,1374.39
28-Oct-2010,1,45781.7,42560.38,43857.42,1323.78,1364.12
28-Sep-2010,1,44597.35,41351.17,42687.01,1286.17,1327.71
29-Aug-2010,1,41804.65,39631.81,41577.02,1232.69,1293.19
30-Jul-2010,1,40005.78,37496.06,39812.63,1166.26,1238.31
30-Jun-2010,1,40101.5,37231.08,37555.35,1158.02,1168.1
31-May-2010,1,40597.35,38494.52,39901.72,1197.31,1241.08
01-May-2010,1,40178.6,37242.56,38933.61,1158.37,1210.97
01-Apr-2010,1,37996.46,35755.59,37920.93,1112.12,1179.47
02-Mar-2010,1,36818.54,34903.96,35787.26,1085.63,1113.11
31-Jan-2010,1,36372.58,33620.57,35956.68,1045.72,1118.38
01-Jan-2010,1,37371.11,34554.72,34770.23,1074.77,1081.48
02-Dec-2009,1,39444.79,34575.37,35286.23,1075.41,1097.52
02-Nov-2009,1,38637.8,33529.2,38473.89,1042.87,1196.67
03-Oct-2009,1,34419.55,32214.54,33529.2,1001.98,1042.87
03-Sep-2009,1,32918.98,31340.91,32242.11,974.81,1002.84
04-Aug-2009,1,31531.48,29990.81,31402.81,932.82,976.74
05-Jul-2009,1,30946.8,29112.57,30745.14,905.5,956.28
05-Jun-2009,1,31552.8,29387.17,29987.75,914.04,932.72
06-May-2009,1,31816.43,28816.64,31451.08,896.3,978.24
06-Apr-2009,1,29528.81,27823.91,28859.08,865.42,897.62
07-Mar-2009,1,31081.48,28439.74,28699.04,884.57,892.64
05-Feb-2009,1,32317.28,28656.11,30204.04,891.3,939.45
06-Jan-2009,1,29876.09,25830.82,29116.97,803.43,905.64
07-Dec-2008,1,28622.17,24293.04,27554.23,755.6,857.03
07-Nov-2008,1,26666.71,22534.7,24313.52,700.91,756.24
08-Oct-2008,1,29913.96,21956.54,23551.88,682.92,732.55
08-Sep-2008,1,29712.16,23686.63,28582.77,736.74,889.02
09-Aug-2008,1,27841.4,24911.12,26131.95,774.82,812.79
10-Jul-2008,1,31754.75,27377.23,27538.81,851.53,856.55
10-Jun-2008,1,30425.75,27605.67,29861.74,858.63,928.8
11-May-2008,1,30072.71,27665.09,28729.24,860.48,893.58
11-Apr-2008,1,30634.43,27206.71,28455.97,846.22,885.08
12-Mar-2008,1,33189.62,28124.01,29849.47,874.75,928.42
11-Feb-2008,1,31908.27,28845.75,31270.56,897.2,972.62
12-Jan-2008,1,30117.65,27312.6,29594.22,849.52,920.48
13-Dec-2007,1,28868.54,25250.09,28803.99,785.37,895.9
13-Nov-2007,1,26901.03,24857.27,26099.62,773.15,811.79
14-Oct-2007,1,27182.14,23980.53,25445.55,745.88,791.45
14-Sep-2007,1,24240.16,22645.49,24123.91,704.35,750.34
15-Aug-2007,1,23010.98,20687.05,22724.78,643.44,706.82
16-Jul-2007,1,22089.26,21156.66,21542.09,658.05,670.03
16-Jun-2007,1,21518.12,20585.52,21455.18,640.28,667.33
17-May-2007,1,21675.48,20713.94,21084.93,644.28,655.81
17-Apr-2007,1,22304.84,21229,21298.72,660.3,662.46
18-Mar-2007,1,22234.46,20922.32,22205.52,650.76,690.67
16-Feb-2007,1,22142.81,20343.48,21028.07,632.75,654.05
17-Jan-2007,1,21629.74,19958.37,21498.71,620.77,668.68
18-Dec-2006,1,20720.68,19416.78,20077.35,603.93,624.48
18-Nov-2006,1,20903.73,19743.12,19801.19,614.08,615.89
19-Oct-2006,1,20474.72,18451.59,19990.87,573.91,621.79
19-Sep-2006,1,19512.84,18005.21,19041.14,560.02,592.25
20-Aug-2006,1,20592.86,18360.97,18899.88,571.09,587.85
21-Jul-2006,1,21104.28,19382.47,19710,602.86,613.05
21-Jun-2006,1,21749.27,18362.89,20171.41,571.15,627.4
22-May-2006,1,21684.89,17459.47,18600.68,543.05,578.55
22-Apr-2006,1,23458.63,19922.45,21143.95,619.66,657.65
23-Mar-2006,1,20749.39,17530.39,20374.46,545.26,633.72
21-Feb-2006,1,18342.68,17217.75,17711.23,535.53,550.88
22-Jan-2006,1,18479.6,17243.76,17876.4,536.34,556.02
23-Dec-2005,1,18244.62,16084.06,17806.48,500.27,553.84
23-Nov-2005,1,17370.04,15677.36,16209.33,487.62,504.17
24-Oct-2005,1,15905.59,14657.8,15853.37,455.91,493.09
24-Sep-2005,1,15441.95,14751.12,15022.69,458.81,467.26
25-Aug-2005,1,15261.79,13798.08,14913.38,429.17,463.86
26-Jul-2005,1,14465.92,13564.37,14065.36,421.9,437.48
26-Jun-2005,1,14174.1,13428.86,13683.84,417.68,425.62
27-May-2005,1,14271.85,13297.52,14131.8,413.6,439.55
27-Apr-2005,1,14112.64,13393.12,13434.68,416.57,417.87
28-Mar-2005,1,14068.57,13567.03,14043.39,421.98,436.8
26-Feb-2005,1,14376.14,13639.91,13688.13,424.25,425.75
27-Jan-2005,1,14040.16,13197.58,13989.67,410.49,435.13
28-Dec-2004,1,14318.79,13406.49,13714.39,416.99,426.57
28-Nov-2004,1,14686.92,13872.73,14305.95,431.49,444.96
29-Oct-2004,1,14614.33,13423.73,14514.13,417.52,451.44
29-Sep-2004,1,13848.6,13152.04,13638.03,409.07,424.19
30-Aug-2004,1,13281.69,12699.15,13267.13,394.99,412.65
31-Jul-2004,1,13313.3,12511.19,12980.97,389.14,403.75
01-Jul-2004,1,13154.27,12390.85,12573.06,385.4,391.07
01-Jun-2004,1,13020.74,12571.2,12658.27,391.01,393.72
02-May-2004,1,12737.4,12006.99,12713.72,373.46,395.44
02-Apr-2004,1,13785.53,12348.32,12505.81,384.08,388.97
03-Mar-2004,1,13883.98,12495.6,13751.91,388.66,427.73
02-Feb-2004,1,13411.12,12569.26,12644.56,390.95,393.29
03-Jan-2004,1,13348.64,12757.96,12932.87,396.82,402.26
04-Dec-2003,1,13181.5,12917.87,13125.24,401.79,408.24
04-Nov-2003,1,12966.1,12149.49,12917.87,377.89,401.79
05-Oct-2003,1,12570.65,11903.54,12321.49,370.24,383.24
05-Sep-2003,1,12597.98,11919.61,12353.64,370.74,384.24
06-Aug-2003,1,12099.65,11201.06,11919.61,348.39,370.74
07-Jul-2003,1,11754.04,11011.38,11201.06,342.49,348.39
07-Jun-2003,1,11670.45,11043.53,11294.3,343.49,351.29
08-May-2003,1,11971.05,10976.01,11670.45,341.39,362.99
08-Apr-2003,1,11027.45,10284.79,10990.48,319.89,341.84
09-Mar-2003,1,11395.57,10279.96,10284.79,319.74,319.89
07-Feb-2003,1,12081.97,11062.82,11276.61,344.09,350.74
08-Jan-2003,1,12377.75,11148.01,12081.97,346.74,375.79
09-Dec-2002,1,11448.62,10387.67,11220.35,323.09,348.99
09-Nov-2002,1,10472.86,10173.87,10472.86,316.44,325.74
10-Oct-2002,1,10369.98,9990.61,10342.66,310.74,321.69
10-Sep-2002,1,10490.55,10136.9,10267.1,315.29,319.34
11-Aug-2002,1,10368.38,9818.61,10368.38,305.39,322.49
